Counter,Authors,Title,Publication,Year,Dates,Category,Subject,File,Volume,Pages,Address,Publisher,Editor,Citation,ReferredByURL,GoogleScholarURL
135,Mohammad Abu Shattal#Anna Wisniewska#Ala Al-Fuqaha#Bilal Khan#Kirk Dombrowski,Evolutionary Game Theory Perspective on Dynamic Spectrum Access Etiquette,IEEE Access,2017,NULL,Journal,Wireless networks#Social networks,pdf/106.pdf,99,15-Jan,NULL,NULL,NULL,0,https://ieeexplore.ieee.org/document/8014421/,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C28&q=Evolutionary+Game+Theory+Perspective+on+Dynamic+Spectrum+Access+Etiquette&btnG=
136,Mohammad Abu Shattal#Ala Al-Fuqaha#Bilal Khan#Kirk Dombrowski#Anna Wisniewska,Evolution of Bio-Socially Inspired Strategies in Support of Dynamic Spectrum Access,IEEE Conference on Communications,2017,21-25 May,Conference,Wireless networks#Social networks,pdf/105.pdf,NULL,289-295,NULL,NULL,NULL,0,https://ieeexplore.ieee.org/document/7962672/,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C28&q=Evolution+of+Bio-Socially+Inspired+Strategies+in+Support+of+Dynamic+Spectrum+Access&btnG=
137,Anna Wisniewska#Bilal Khan#Ala Al-Fuqaha#Kirk Dombrowski#Mohammad Abu Shattal,When Brands fight over Bands: Sociality in the Cognitive Radio Ecosystem,IEEE Conference on Communications,2017,21-25 May,Conference,Wireless networks#Social networks,pdf/104.pdf,NULL,NULL,NULL,NULL,NULL,0,https://ieeexplore.ieee.org/document/7997383/,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C28&q=When+Brands+fight+over+Bands%3A+Sociality+in+the+Cognitive+Radio+Ecosystem&btnG=
138,Anna Wisniewska#Mohammad Abu Shattal#Bilal Khan#Ala Al-Fuqaha#Kirk Dombrowski,Emergence of pecking order in social Cognitive Radio societies,INFOCOM,2018,NULL,Conference,Wireless networks#Social networks,pdf/113.pdf,NULL,NULL,NULL,IEEE,NULL,0,http://infocom2018.ieee-infocom.org/content/workshop-scan-advances-software-defined-and-context%E2%80%90aware-cognitive-networks-program,NULL
139,Bilal Khan#Hsuan-Wei Lee#Ian Fellows#Kirk Dombrowski,One-step estimation of networked population size: Respondent-driven capture-recapture with anonymity,PLoS One,2018,NULL,Journal,Social networks#Methods,pdf/114.pdf,NULL,NULL,NULL,NULL,NULL,0,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0195959,https://www.google.com/search?rlz=1C1CHBF_enUS706US706&ei=SM71Wv3wLMrgjwSaoLWoCA&q=PLoS+One+One-step+estimation+of+networked+population+size%3A+Respondent-driven+capture-recapture+with+anonymity&oq=PLoS+One+One-step+estimation+of+networked+population+size%3A+Respondent-driven+capture-recapture+with+anonymity&gs_l=psy-ab.3...164355.166571.0.166837.9.7.0.0.0.0.0.0..0.0....0...1c.1.64.psy-ab..9.0.0....0.vNYjEZKIdS4
140,Bilal Khan#Hsuan-Wei Lee#Courtney Thrash#Kirk Dombrowski,Agency and Social Constraint among Victims of Domestic Minor Sex Trafficking: A Method for Measuring Free Will,Social Science Research,2018,NULL,Journal,Public health#Methods,pdf/116.pdf,,NULL,NULL,NULL,NULL,0,NULL,NULL
141,Mohammad Abu Shattal#Anna Wisniewska#Bilal Khan#Ala Al-Fuqaha#Kirk Dombrowski,From Channel Selection to Strategy Selection: Enhancing VANETs using Socially-Inspired Foraging and Deference Strategies,IEEE Transactions on Vehicular Technology,2018,NULL,Journal,Wireless networks#Social networks,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL
142,Elizabeth Stevens#Kimberly Nucifora#Holly Hagan#Ashley Jordan#Jennifer Uyei#Bilal Khan#Kirk Dombrowski#Don Des Jarlais#Scott Braithwaite,Cost-effectiveness of direct anti-viral agents for hepatitis C virus infection and a combined intervention of syringe access and medication assisted therapy for opioid use disorders in an injection drug use population,Clinical Infectious Diseases,2019,NULL,Journal,Public health#Social networks,pdf/122.pdf,NULL,NULL,NULL,NULL,NULL,0,https://www.ncbi.nlm.nih.gov/pubmed/31400755,NULL
143,Ian Duncan#Patrick Habecker#Dane Hautala#Bilal Khan#Kirk Dombrowski,Injection related Hepatitis C Serosorting Behaviors among People Who Inject Drugs: An Urban/Rural Comparison,Ethnicity and Substance Abuse,2019,NULL,Journal,Public health#Social networks,pdf/121.pdf,18(4),578-593,NULL,NULL,NULL,0,https://www.ncbi.nlm.nih.gov/pubmed/29436977,NULL
144,Juan Carlos Reyes#Melissa Welch-Lazoritz#Laura Zayas Martinez#Bilal Khan#Kirk Dombrowski,Prevalence and risk factors associated with homelessness among drug users in Puerto Rico,Puerto Rico Health Sciences Journal,2019,NULL,Journal,Public health#Social networks,pdf/120.pdf,18(1),54-5,NULL,NULL,NULL,0,https://www.ncbi.nlm.nih.gov/pubmed/30924916,NULL
145,Bilal Khan#Kirk Dombrowski#Alekhya Bellam#Gisela Font Sayeras#Kin Pi#Devan Crawford#Patrick Habecker#Maisha Jauernig,Towards a Smart(er) Social Science using high-dimensional continuous-time trajectories from the Open Dynamic Interaction Networks (ODIN) platform,IEEE SmartWorld,2019,NULL,Conference,Public health#Social networks#Methods,pdf/119.pdf,NULL,NULL,Leicester,NULL,NULL,0,NULL,NULL
146,Hsuan-Wei Lee#Miranda Melson#Jerreed Ivanich#Patrick Habecker#Robin Gauthier#Lisa Wexler#Bilal Khan#Kirk Dombrowski,Mapping the Structure of Perceptions in Helping Networks of Alaska Natives,PLoS One,2018,NULL,Journal,Public health#Social networks,NULL,NULL,NULL,NULL,NULL,NULL,0,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0204343,NULL
147,Bilal Khan#Ian Duncan#Mohamed Saad#Daniel Schaefer#Ashley Jordan#Daniel Smith#Alan Neaigus#Don Des Jarlais#Holly Hagan#Kirk Dombrowski,Combination interventions for Hepatitis C and Cirrhosis reduction among people who inject drugs: An agent-based networked population simulation experiment,PLoS One,2018,NULL,Journal,Public health#Social networks,NULL,13(11),NULL,NULL,NULL,NULL,0,https://doi.org/10.1371/journal.pone.0206356,NULL
148,Irshadullah Khan#Bilal Khan,A note on the fine-structure constant,Preprint ArXiv arXiv:submit/3155246,2020,,Journal,Physics,KHAN-Submitted-to-ArXiv-4.30.2020.pdf,NULL,NULL,NULL,NULL,NULL,0,https://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1714&context=sociologyfacpub,NULL
149,Elspeth Ready#Patrick Habecker#Roberto Abadie#Bilal Khan#Kirk Dombrowski,Competing forces of withdrawal and disease avoidance in the risk networks of people who inject drugs. ,PLoS One,2020,NULL,Journal,Public health#Social networks,pdf/124.pdf,15(6),NULL,NULL,NULL,NULL,0,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0235124,NULL
