Counter,Authors,Title,Publication,Year,Dates,Category,Subject,File,Volume,Pages,Address,Publisher,Editor,Citation,ReferredByURL,GoogleScholarURL
27,Bilal Khan#David Talmage#Sean Mountcastle#Abdella Battou#Spencer Marsh,Introducing PRouST: The PNNI Routing and Simulation Toolkit,IEEE Workshop on High Performance Switching and Routing,2001,"May 29-31 May, 2001",Conference,ATM networks,pdf/11.pdf,NULL,335-341,"Dallas, TX",IEEE,NULL,0,"http://scholar.google.com/scholar?cites=5938324285490190837&as_sdt=5,33&sciodt=0,33&hl=en","http://scholar.google.com/scholar?cluster=5938324285490190837&hl=en&as_sdt=5,33&sciodt=0,33"
28,Bilal Khan#Dardo Kleiner#David Talmage,Towards an Agent-based Distributed Hierarchical Network Management System for All-Optical Networks,3rd International Workshop on Mobile Agents and Telecommunications Applications,2000,"August 14�??16, 2001",Conference,Optical networks,pdf/9.pdf,2164,103-113,"Ecole Polytechnique, Montreal, Canada",Springer Berlin Heidelberg,NULL,0,NULL,NULL
29,Ghassen Ben Brahim#Bilal Khan#Abdella Battou#Mohsen Guizani#Ghulam Chaudhry,Routing Protocols for Optical Networks,IEEE Globecom,2000,NULL,Conference,Optical networks,pdf/8.pdf,NULL,NULL,"San Francisco, CA",IEEE,NULL,0,"http://scholar.google.com/scholar?cluster=12427560057810907202&hl=en&as_sdt=5,33&sciodt=0,33","http://scholar.google.com/scholar?cites=12427560057810907202&as_sdt=5,33&sciodt=0,33&hl=en"
30,Ghassen Ben Brahim#Bilal Khan#Abdella Battou#Mohsen Guizani#Ghulam Chaudhry,TRON: The Toolkit for Routing in Optical Networks,IEEE Globecom,2000,"Nov 25-29, 2001",Conference,Optical networks,pdf/7.pdf,3,1445-1449,"San Antonio, TX",IEEE,NULL,0,"http://scholar.google.com/scholar?cites=7744854935342453966&as_sdt=5,33&sciodt=0,33&hl=en","http://scholar.google.com/scholar?cluster=7744854935342453966&hl=en&as_sdt=5,33&sciodt=0,33"
31,Abdella Battou#Bilal Khan#Daniel Lee#Spencer Marsh#Sean Mountcastle#David Talmage,Introducing SEAN: The Signaling Entity for ATM Networks,IEEE Globecom,2000,"Nov 27-Dec 1, 2000",Conference,ATM networks,pdf/6.pdf,1,532-537,"San Francisco, CA",IEEE,NULL,0,"http://scholar.google.com/scholar?cites=10624716636458159075&as_sdt=5,33&sciodt=0,33&hl=en","http://scholar.google.com/scholar?cluster=10624716636458159075&hl=en&as_sdt=5,33&sciodt=0,33"
32,Bilal Khan#Dardo Kleiner#David Talmage,CHIME: The Cellular Hierarchy Information Modeling Environment,International Conference on Parallel and Distributed Computing and Systems,2000,"August 8-10, 2000",Conference,ATM networks,pdf/5.pdf,NULL,NULL,"Las Vegas, NV",NULL,NULL,0,"http://scholar.google.com/scholar?cites=11974415884311744510&as_sdt=5,33&sciodt=0,33&hl=en","http://scholar.google.com/scholar?cluster=11974415884311744510&hl=en&as_sdt=5,33&sciodt=0,33"
33,Abdella Battou#Kiran Bhutani#Bilal Khan,Two Approaches for Aggregation of Peer Group Topology in Hierarchical PNNI Networks,International Journal of Intelligent Automation and Soft Computing,2000,NULL,Journal,ATM networks,pdf/10.pdf,6(2),125-134,NULL,"Autosoft Press, Taylor and Francis",NULL,0,"http://scholar.google.com/scholar?cites=18335853473363883932&as_sdt=5,33&sciodt=0,33&hl=en","http://scholar.google.com/scholar?cluster=18335853473363883932&hl=en&as_sdt=5,33&sciodt=0,33"
34,Abdella Battou#Bilal Khan#Daniel Lee#Spencer Marsh#Sean Mountcastle#David Talmage,CASiNO: A Component Architecture for Simulation of Network Objects,Symposium on Performance Evaluation of Computer and Telecommunication Systems,1999,"Oct 24-28, 1999",Conference,Optical networks,pdf/3.pdf,NULL,NULL,"Chicago, IL",NULL,NULL,0,NULL,NULL
35,Abdella Battou#Bilal Khan#Sean Mountcastle,PNNI and the Optimal Design of High-speed ATM Networks,Journal of Informatica,1999,NULL,Journal,Optical networks,pdf/4.pdf,23(4),NULL,NULL,NULL,NULL,0,NULL,NULL
36,Baruch Awerbuch#Yi Du#Bilal Khan#Yuval Shavitt,Routing Through Networks with Hierarchical Topology Aggregation,Journal of High Speed Networks,1998,NULL,Journal,Computer networks,pdf/2.pdf,7(1),57-73,NULL,IOS Press,NULL,0,"http://scholar.google.com/scholar?cluster=7519060906975818647&hl=en&as_sdt=5,33&sciodt=0,33","http://scholar.google.com/scholar?cites=7519060906975818647&as_sdt=5,33&sciodt=0,33&hl=en"
